fare_id,route_id,origin_id,destination_id,contains_id
ES:Euskotren:Fare:29697:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:31241:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:32149:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:42935:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:43627:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:67325:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:67727:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:68152:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:69304:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:69700:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:69865:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:71263:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:73108:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:73669:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:43:,
